fdc_id,amount,modifier,gram_weight
167743,1,serving,21
167744,3,oz,85
167745,3,oz,85
167746,1,"cup, sections",212
167746,1,"fruit (2-1/8"" dia)",58
167746,1,"fruit (2-3/8"" dia)",84
167746,1,"wedge or slice (1/8 of one 2-1/8"" dia lemon)",7
167746,1,NLEA serving,58
167747,1,cup,244
167747,1,fl oz,30.5
167747,1,lemon yields,48
167747,1,wedge yields,5.9
167748,1,tbsp,15
167748,1,tsp,5
167748,1,fl oz,30.5
167748,1,cup,244
167749,1,tbsp,6
167749,1,tsp,2
167750,1,cup,149
167750,1,fruit without refuse,103
167751,1,"cup, pitted",248
167752,1,"cup, pitted",248
167753,1,cup,256
167753,1,fl oz,32
167754,1,"cup, sections",190
167754,1,fruit without refuse,609
167755,1,cup,123
167755,1,"pint as purchased, yields",312
167755,10,raspberries,19
167756,1,cup,256
167757,1,"cup, thawed",250
167757,1,package (10 oz),284
167758,1,"cup, diced",122
167758,1,stalk,51
167759,1,"cup, pulp",241
167759,1,sapodilla,170
167760,1,"cup 1"" pieces",175
167760,1,fruit without refuse,558
167761,1,"cup, pulp",225
167761,1,"fruit (7"" x 5-1/4"" dia)",625
167762,1,"cup, halves",152
167762,1,"cup, pureed",232
167762,1,"cup, sliced",166
167762,1,"cup, whole",144
167762,1,"extra large (1-5/8"" dia)",27
167762,1,"large (1-3/8"" dia)",18
167762,1,"medium (1-1/4"" dia)",12
167762,1,"pint as purchased, yields",357
167762,1,"small (1"" dia)",7
167762,1,NLEA serving,147
167763,1,"cup, pulp",120
167763,1,"fruit (3"" x 1"")",2
167764,1,cup,257
167765,1,"cup, balls",154
167765,1,"cup, diced",152
167765,1,"melon (15"" long x 7-1/2"" dia)",4518
167765,1,wedge (approx 1/16 of melon),286
167765,10,watermelon balls,122
167765,1,NLEA serving,280
167766,1,cherry (NLEA serving),5
167767,1,"cup, chunks",181
167767,1,"cup, crushed",195
167767,1,"cup, sliced",162
167767,1,spear,26
167768,1,"cup, halves",219
167768,1,"cup, whole",182
167769,1,cup,168
167770,1,cup,179
167771,1,cup,248
167771,1,fl oz,31
167772,1,cup,244
167773,1,cup,255
167774,1,cup,247
167774,1,fruit yields,196
167775,1,cup,239
167775,1,fl oz,29.9
167776,1,"cup, sliced",140
167776,1,small,152
167776,1,medium,177
167776,1,large,227
167777,1,small,126
167777,1,medium,157
167777,1,large,223
167777,1,"cup, sliced",140
167778,1,"cup, sliced",140
167778,1,small,159
167778,1,medium,179
167778,1,large,219
167779,1,"cup, sliced",140
167779,1,small,172
167779,1,medium,202
167779,1,large,242
167780,2,tbsp,36
167782,0.5,cup,114
167783,0.5,cup,114
167784,1,cup,251
167785,1,cup,251
167786,1,cup,251
167787,1,cup,249
167787,1,fl oz,31.4
167788,3,fruit without pits,11.1
167789,1,"cup without pits, thawed",112
167789,3,"fruit without pits, thawed",9.8
167790,1,cup thawed,120
167791,1,cup,233
167791,1,"fruit (4-2/3"" long x 2-3/4"" dia)",209
167792,8,fl oz,246
167793,1,"cup, sliced",109
167793,1,large,236
167793,1,medium,192
167793,1,small,158
167794,1,cup,249
167794,1,fl oz,31.1
167795,8,fl oz,240
167796,1,cup,275
167797,1,cup,252
167798,1,cup,230
167799,1,cup,233
167800,6,fl oz,177
167800,10,fl oz,295
167801,1,tbsp,15
167801,1,tsp,5.2
167802,1,tbsp,15
167802,1,tsp,5
167803,0.25,cup,70
167804,0.25,cup,70
167805,8,fl oz,248
167807,1,cup,269
167807,1,fl oz,31.5
167810,1,oz,28.35
167810,1,lb,453.6
167811,4,oz,113
167811,1,lb,453.6
167812,4,oz,113
167812,1,lb,453.6
167813,1,oz,28.35
167813,4,oz,113
167814,4,oz,113
167814,1,lb,453.6
167815,1,"cup, diced",135
167815,3,oz,85
167816,4,oz,113
167816,1,lb,453.6
167816,1,roast,3952
167817,3,oz,85
167817,1,roast,3027
167818,4,oz,113
167818,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",117
167819,3,oz,85
167819,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",89
167820,3,oz,85
167820,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",87
167821,3,oz,85
167821,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",89
167822,4,oz,113
167822,1,chop,263
167823,3,oz,85
167823,1,chop,206
167824,3,oz,85
167824,1,chop,219
167825,3,oz,85
167825,1,roast,830
167826,3,oz,85
167826,1,chop,187
167827,3,oz,85
167827,1,"chop without refuse (Yield from 1 cooked chop, with refuse, weighing 209g)",157
167828,3,oz,85
167828,1,roast,900
167829,4,oz,113
167829,1,"chop without refuse (Yield from 1 raw chop, with refuse, weighing 259g)",178
167830,3,oz,85
167830,1,chop,187
167831,1,"chop without refuse (Yield from 1 cooked chop, with refuse, weighing 172g)",112
167831,3,oz,85
167832,3,oz,85
167832,1,roast,783
167833,4,oz,113
167833,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",86
167834,3,oz,85
167834,1,chop,180
167835,3,oz,85
167835,1,chop,195
167836,3,oz,85
167836,1,"roast without refuse (Yield from 1 cooked roast, with refuse, weighing 1515g)",1046
167837,4,oz,113
167837,1,lb,453.6
167837,1,"roast without refuse (Yield from 1 raw roast, with refuse, weighing 1818g)",1217
167838,3,oz,85
167838,1,chop,180
167839,4,oz,113
167839,1,chop,185
167840,1,chop,135
167841,1,chop,145
167841,3,oz,85
167842,3,oz,85
167842,1,roast,848
167843,4,oz,113
167843,1,lb,453.6
167844,1,"cup, diced",135
167844,3,oz,85
167845,1,oz,28.35
167845,1,lb,453.6
167846,1,"cup, diced",135
167846,3,oz,85
167847,3,oz,85
167847,1,roast,2252
167848,3,oz,85
167848,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",191
167849,4,oz,113
167849,1,"steak without refuse (Yield from 1 raw steak, with refuse, weighing 380g)",288
167849,1,lb,453.6
167850,3,oz,85
167850,1,"steak without refuse (Yield from 1 cooked steak, with refuse, weighing 249g)",185
167851,3,oz,85
167851,1,"steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 300 g)",169
167852,3,oz,85
167852,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",238
167853,4,oz,113
167854,3,oz,85
167854,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",177
167855,3,oz,85
167855,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",231
167856,3,oz,85
167857,1,oz,28.35
167857,1,ear,113
167858,1,ear (yield after cooking),111
167858,1,"unit, cooked (yield from 1 lb raw meat)",422
167859,4,oz,113
167860,1,cup,140
167860,3,oz,85
167861,1,oz,28.35
167861,4,oz,113
167862,1,oz,28.35
167862,4,oz,113
167863,3,oz,85
167864,1,oz,28.35
167864,1,lb,453.6
167865,1,oz,28.35
167865,4,oz,113
167866,3,oz,85
167867,1,oz,28.35
167867,4,oz,113
167868,3,oz,85
167868,1,chop,215
167869,3,oz,85
167869,2,slices (6 per 6-oz pkg.),57
167869,1,package (6 oz),170
167870,3,oz,85
167870,1,lb,453.6
167871,1,cup,140
167871,3,oz,85
167872,1,cup,140
167872,3,oz,85
167873,1,oz,28.35
167873,1,patty,65
167874,1,oz,28.35
167874,1,slice,57
167875,1,cup,140
167875,1,oz,28.35
167876,3,oz,85
167876,1,cup,140
167877,1,oz,28.35
167877,3,oz,85
167878,1,oz,28.35
167878,3,oz,85
167879,1,cup,140
167879,3,oz,85
167880,1,cup,140
167880,3,oz,85
167881,3,oz,85
167881,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",275
167882,3,oz,85
167882,1,chop,172
167883,3,oz,85
167883,1,chop,169
167884,3,oz,85
167884,1,chop,215
167885,3,oz,85
167885,1,cup,140
167886,1,cup,140
167886,3,oz,85
167887,3,oz,85
167887,1,chop,142
167888,1,oz,28.35
167888,1,lb,453.6
167889,4,oz,113
167889,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",101
167890,3,oz,85
167890,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",81
167891,3,oz,85
167891,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",80
167892,3,oz,85
167892,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",75
167893,3,oz,85
167893,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",66
167894,3,oz,85
167894,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",283
167895,4,oz,113
167895,1,"rib without refuse (Yield from 1 raw rib, with refuse, weighing 196g)",128
167896,1,"rib without refuse (Yield from 1 cooked rib, with refuse, weighing 140g)",86
167896,3,oz,85
167897,1,rack,138
167898,3,oz,85
167898,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",82
167899,3,oz,85
167899,1,chop,159
167900,3,oz,85
167900,1,roast,638
167901,4,oz,113
167901,1,chop,210
167902,1,oz,28.35
167902,4,oz,113
167903,3,oz,85
167904,3,oz,85
167904,1,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",76
167905,3,oz,85
167905,1,roast,402
167906,3,oz,85
167906,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",261
167907,1,oz,28.35
167907,1,lb,453.6
167908,3,oz,85
167908,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",236
167909,1,serving,84
167910,4,oz,112
167911,1,serving,56
167912,3,oz,85
167912,1,chop boneless,150
167913,3,oz,85
167913,1,chop boneless (yield from 189g raw meat),150
167914,3,oz,85
167914,1,slice cooked,8.1
167915,3,serving (3 oz),85
167915,1,roast rump,2970
167916,3,oz,85
167917,3,oz (3 oz),85
167917,1,roast shank,3054
167918,3,oz (3 oz),85
167918,1,slice,436
167919,3,oz (3 oz),85
167919,1,roast rump,2673
167920,1,serving (3 oz),85
167920,1,roast shank,3170
167921,1,biscuit,34
167922,1,"eclair, frozen",59
167923,1,serving,43
167924,1,serving,16
167925,6,cracker 1 cracker = 6.5g,39
167925,1,sandwich,6.5
167926,1,oz,28.35
167926,1,pancake,38
167926,1,serving (3 pancakes),144
167927,1,piece,53
167927,1,oz,28.35
167928,1,pastry,51
167929,1,muffin small,71
167929,1,oz,28.35
167930,1,pie crust,198
167931,1,pie crust (average weight),202
167932,1,pie crust (average weight),229
167933,1,serving,29
167933,1,cracker,4.2
167933,6,"Triscuits, regular size",29
167934,1,serving,29
167934,1,cracker,1.8
167934,16,"crackers, Wheat Thins",29
167935,1,slice (average weight of 1 slice),63
167936,1,piece,42
167937,1,slice,39
167937,1,loaf,311
167938,1,piece (1 serving),42
167939,1,slice presliced,43
167939,1,slice,59
167940,1,bun,65
167941,1,serving,30
167942,1,serving,14
167943,1,slice,32
167944,1,slice,48
167945,1,piece,57
167946,1,bar,35
167947,1,bar,35
167948,1,oz,28.35
167948,2,oz,57
167949,1,oz crunchy (about 21 pieces),28.35
167949,1,oz puffs (about 13 pieces),28.35
167950,1,oz,28.35
167950,2,oz,57
167950,1,cup,85
167951,1,bar (1 oz),28
167952,1,oz,28.35
167952,1,bar,24
167953,1,cup,334
167953,0.25,cup,84
167954,1,bar (1 oz),28
167955,1,bar (1 oz),28
167956,2,tablespoon,34
167957,1,serving,20
167958,1,oz,28.35
167958,2,oz,57
167959,1,cup,8
167959,1,oz,28.35
167960,1,cup,11
167960,1,oz,28.35
167961,1,oz,28.35
167961,0.5,oz,14.2
167962,1,oz,28.35
167962,1,bag (7 oz),198
167963,1,oz,28.35
167963,1,bag (7 oz),198
167964,1,oz,28.35
167964,10,pieces,30
167965,1,oz,28.35
167965,2,oz,57
167966,1,cake,9
167966,2,cakes,18
167967,1,cake,9
167967,2,cakes,18
167968,1,cup,140
167968,1,oz,28.35
167968,1.5,oz,42
167969,1,cup,146
167969,1,oz,28.35
167969,1.5,oz,42
167970,1,oz,28.35
167970,1,bag (8 oz),227
167971,1,serving 6 pieces,40
167971,1,piece,6.6
167972,1,oz,28.35
167972,3,pieces,16
167973,1,oz,28.35
167973,1,bar (3 oz),87
167974,1,package (2.5 oz),71
167974,1,piece,10.1
167975,1,bar 1.25 oz,35
167975,1,bar 1.6 oz,45
167975,6,blocks,43
167976,1,serving,14.5
167976,1,cup large chips,182
167976,1,cup mini chips,173
167976,1,oz (approx 60 pcs),28.35
167976,1,cup chips (6 oz package),168
167977,1,oz,28.35
167977,1,bar (1.45 oz),41
167978,1,"patty, large",43
167978,1,"patty, small",11
167979,13,pieces,41
167980,1,cup chips,170
167980,1,oz,28.35
167981,0.5,cup (4 fl oz),86
167982,1,patty 1.5 oz,43
167983,27,pieces,40
167984,1,bar 1.5 oz,42
167984,1,bar 2.4 oz,68
167985,1,bar 2 oz,56
167985,1,bar snack size,16
167986,1,oz,28.35
167987,1,piece,17
167988,1,oz,28.35
167989,1,cup gumdrops,182
167989,10,gumdrops,36
167989,10,gummy bears,22
167989,10,gummy dinosaurs,63
167989,10,gummy fish,50
167989,10,gummy worms,74
167989,1,spice stick,9.5
167989,1,spice drop,24
167989,1,"gumdrop, small (1/2"" dia)",3.2
167989,1,"gumdrop, medium (3/4"" dia)",4.2
167989,1,"gumdrop, large (1"" dia)",11.6
167989,1,"jelly ring (1-1/4"" dia)",10
167990,1,oz,28.35
167990,1,piece,6
167990,1,"piece, small",3
167991,10,small,11
167991,10,large (1 oz),28
167992,1,bar (1.5 oz),42
167992,1,"bar, miniature (.35 oz)",10
167992,1,bar (1.625 oz),46
167992,1,bar (2.8 oz),78
167992,1,bar (3.375 oz),96
167993,1,bar 1.45 oz,41
167993,1,bar 2 oz,56
167993,3,blocks,37
167994,1,bar (1.76 oz),50
167995,1,cup of miniature,50
167995,10,miniatures,7
167995,1,regular,7.2
167996,1,oz,28.35
167997,1,bar 2 oz,57
167997,1,serving fun size bar,26
167998,0.5,cup From 19211,142
167999,1,tablet,20
168000,1,serving 2 TBSP,37
168001,1,cup,149
168001,10,pieces,40
168002,3,cookies,30
168003,3,cookies,23
168004,3,crackers,7.4
168005,10,goldfish,5.2
168006,10,goldfish,5.3
168007,3,cookies,44
168008,1,roll,78
168010,1,roll,36
168011,1,waffle,47
168011,1,box,255
168012,3,crackers,8.4
168013,1,oz,28.35
168013,1,slice regular,26
168013,1,slice large,41
168014,1,oz,28.35
168014,1,Arrowroot biscuit (include Arrowroot cookie),4.9
168014,1,cracker,2.5
168014,1,individual box (2 oz),57
168015,3,oz,85
168016,3,oz,85
168041,1,serving,197
168042,1,serving,308
168043,1,serving,411
168044,1,serving,303
168062,1,serving,301
168063,1,serving,283
168063,1,cup,253
168064,1,serving,461
168064,1,cup,146
168065,1,serving,590
168065,1,cup,157
168066,1,serving,653
168066,1,cup,115
168067,1,piece,142
168068,1,cup,246
168069,1,cup,200
168070,1,piece,98
168071,1,piece,70
168072,1,order,574
168073,1,serving,103
168073,1,piece,36
168074,1,serving,149
168075,1,serving,178
168075,1,piece,124
168076,1,serving,228
168076,1,piece,27
168077,1,piece,16
168077,1,serving,100
168078,1,serving,180
168078,1,cup,134
168079,1,serving 4 pieces in serving,67
168079,1,piece,16
168080,1,order,601
168081,1,order,706
168081,3,pieces,55
168082,1,order,609
168082,3,pieces,42
168083,1,order,604
168084,1,order,777
168084,1,cup,195
168085,1,serving,525
168086,1,serving,537
168087,1,order,547
168088,1,tbsp,20
168088,1,tsp,6.7
168089,1,"cup, shredded",113
168089,1,cubic inch,18
168090,1,fl oz,31.5
168090,1,bottle NFS,126
168091,1,fl oz,31.5
168091,1,bottle NFS,126
168092,1,cup pieces,138
168092,1,cubic inch,20
168093,1,tbsp,13.4
168093,1,fl oz,26
168094,1,tbsp,14.6
168094,1,cup,231
168095,1,oz,28.35
168096,1,tbsp,14
168096,1,cup,216
168097,1,fl oz,30
168097,1,cup,242
168098,1,"cup, diced",132
168098,1,"cup, shredded",113
168098,1,cubic inch,17
168098,1,slice (1 oz),28
168099,1,tbsp,17
168099,1,cup,264
168100,1,tbsp,15
168100,1,cup,234
168101,1,slice,28
168101,1,cubic inch,14
168101,1,"slice, medium",28
168101,1,"slice, thick",43
168101,1,"slice, thin",14
168102,2,cookie 2011 label,51
168103,1,cup,186
168104,1,cup,174
168105,1,cup,174
168107,1,cubic inch,4.2
168108,1,serving 1.31 oz bag,37
168108,1,serving about 1/4 cup,42
168108,1,cup,195
168108,1,piece,3.4
168109,1,tbsp,17
168109,1,cup,269
168110,3,"oz, boneless",85
168110,1,"cubic inch, boneless",17
168111,3,oz,85
168111,1,lb,453
168112,1,tbsp,14.5
168112,1,cup,232
168113,1,fl oz,29.8
168113,1,bar,74
168114,4,oz,113
168114,1,cup,226
168115,1,tbsp,14
168115,1,cup,224
168116,1,cup,26
168116,1,"bag, single serving",28
168116,10,chips,18
168117,1,cup,253
168117,1,fl oz,31.6
168118,1,cup pieces,138
168118,1,"slice, medium",28
168118,1,"slice, thick",43
168118,1,"slice, thin",14
168119,1,cup,144
168120,3,"oz, boneless",85
168120,1,"medium slice (approx 3"" x 2"" x 1/4"")",28
168120,1,"thick slice (approx 3"" x 2"" x 3/8"")",42
168121,1,"cup, diced",140
168121,1,"cup, shredded",113
168121,1,cubic inch,18
168121,1,slice,21
168122,1,tsp dry,1.7
168123,1,cup (8 fl oz),240
168123,1,fl oz,30
168124,1,slice,28
168124,1,cubic inch,15
168124,1,"cup, shredded",108
168124,1,"cup, diced",132
168125,1,tbsp,16
168126,1,"medium (2-1/2"" dia)",36
168126,1,"roll (pan, dinner, or small roll) (2"" square, 2"" high)",28
168127,1,"cup, crushed",88
168127,1,"bag, single serving",28
168127,10,chips,18
168128,1,cup,253
168129,1,cup,58
168130,1,bar,54
168131,1,frankfurter,57
168131,1,"cup, sliced",151
168132,1,serving 1.75 fl oz pop,55
168133,1,tbsp,15
168133,1,jar NFS,113
168133,1,jar Gerber Second Food (4 oz),113
168133,1,jar Beech-Nut Stage 2 (4 oz),113
168133,1,jar Heinz Strained-2 (4 oz),113
168134,1,tbsp,15
168134,1,jar NFS,113
168134,1,jar Heinz Strained-2 (4 oz),113
168135,1,tbsp,15
168135,1,jar NFS,113
168135,1,jar Gerber Second Food (4 oz),113
168135,1,jar Beech-Nut Stage 2 (4 oz),113
168135,1,jar Heinz Strained-2 (4.25 oz),120
168136,1,cup,148
168136,1,cubic inch,10.2
168137,1,"cup, crushed",63
168137,10,chips,16
168138,0.75,cup (1 NLEA serving),30
168139,1,oz,28.35
168140,1,tbsp,15
168141,1,slice (1 oz),28
168141,1,cubic inch,15
168141,1,"cup, shredded",108
168141,1,"cup, diced",132
168142,1,serving,0.1
168143,1,serving,9.9
